Date,Open,High,Low,Close,Volume
2024-07-01,74.55,75.05,71.94,72.65,1153439
2024-07-02,72.62,73.5,72.35,72.59,792689
2024-07-03,71.72,71.87,69.99,70.94,1183652
2024-07-05,70.64,71.14,69.85,71.03,1078549
2024-07-08,71.71,72.33,70.5,70.96,853394
2024-07-09,71.4,74.18,71.115,72.92,1505774
2024-07-10,73.15,74.99,73.15,74.78,1112839
2024-07-11,76.4,78.83,75.94,78.38,1302881
2024-07-12,78.92,82.11,78.685,81.55,1629750
2024-07-15,82.1,82.79,81.24,81.32,1443184
2024-07-16,82.32,85.92,82.04,85.82,1076876
2024-07-17,84.37,85.38,83.31,83.34,753719
2024-07-18,83.64,86.345,82.33,82.81,900662
2024-07-19,82.7,82.7,80.86,81.15,771416
2024-07-22,82.11,82.15,79.78,81.72,903883
2024-07-23,80.15,80.62,79.365,79.55,1082063
2024-07-24,78.88,79.852,76.42,76.5,1129719
2024-07-25,77.07,80.12,76.875,78.48,781867
2024-07-26,80.71,83.73,80.405,82.5,1012631
2024-07-29,82.83,84.25,82.395,83.59,904321
2024-07-30,83.88,84.82,83.08,84.5,859673
2024-07-31,85,86.56,83.41,83.63,899712
2024-08-01,84.17,85.14,79.85,80.43,1071646
2024-08-02,78.12,78.12,75.3,77.26,925535
2024-08-05,72.63,76.65,72.2,75.45,1054175
2024-08-06,74.96,78.18,74.28,76.56,1684381
2024-08-07,61.04,62.7,58.68,60.07,6830593
2024-08-08,61.01,62.49,59.46,60.7,2552222
2024-08-09,60.55,61.86,60,60.7,1836974
2024-08-12,60.42,61.19,58.91,59.17,1663846
2024-08-13,59.49,61.68,59.43,61.42,1494238
2024-08-14,61.94,62.62,60.365,60.46,1017821
2024-08-15,61.73,64.3,61.28,63.75,1678198
2024-08-16,63.33,64.495,63.09,63.4,1518835
2024-08-19,64.03,64.9,63.45,64,927182
2024-08-20,64.17,65.27,63.29,64.11,839691
2024-08-21,64.34,65.57,64.21,65.43,771763
2024-08-22,65.47,65.97,63.93,64.08,723877
2024-08-23,64.78,67.78,64.425,67.53,905110
2024-08-26,67.7,68.09,66.45,66.5,628048
2024-08-27,65.8,65.81,63.91,65.08,862611
2024-08-28,64.73,64.82,63.61,63.96,624977
2024-08-29,64.36,64.59,63.36,63.59,560407
